param_offset,param_seed,param_n_estimators,mean_test_score,std_test_score
0.5,1262,150,0.5656630138043143,0.02322508353261601
0.5,1262,200,0.562354837591841,0.028863965089915393
0.5,1262,250,0.5586115869769823,0.02333764547092852
0.5,1262,100,0.5562583396879901,0.014552584759011252
0.5,1262,300,0.5557945684126774,0.027439783538536294
0.5,1395,150,0.5543118193568534,0.028148231643777104
0.5,1395,300,0.5527261450916701,0.029439162399139733
0.5,1290,300,0.5494916949167707,0.015550132569564118
0.5,1388,300,0.5487490150284984,0.02934143002638767
0.5,1290,250,0.5485671975796784,0.020367187200348646
0.5,1395,200,0.5452138020618068,0.015913169984875613
0.5,1395,250,0.5448465605418552,0.02819879104873415
0.5,1255,150,0.5448066263260803,0.02482778274598036
0.5,1290,200,0.5445862162058999,0.017177556492712152
0.5,1423,300,0.5437901065367502,0.012592019988754184
0.5,1367,300,0.5437221700238057,0.012922379344874389
0.5,1255,250,0.5437042543950749,0.022660584028079012
0.5,1255,300,0.5435114369710552,0.020455242437896873
0.5,1388,250,0.543110541425817,0.028604883242592267
0.5,1437,150,0.5424810993959742,0.017671967782757682
0.5,1255,200,0.5411261747599667,0.01838597334569347
0.5,1290,100,0.5408384530008082,0.01682192372306501
0.5,1423,250,0.5406990812473778,0.0147319072286736
0.5,1262,50,0.5406341370333287,0.0403196874443524
0.5,1297,150,0.5404679718581623,0.0328744071264821
0.5,1311,250,0.5395411977311253,0.02691039074046046
0.5,1437,100,0.5392912632561844,0.015335392917999886
0.5,1255,100,0.5387172210364914,0.017711283697864427
0.5,1367,150,0.5385746092184176,0.013333608934198903
0.5,1423,200,0.538391463346113,0.019674991280629096
0.5,1297,300,0.5382292133419031,0.025426251819536994
0.5,1367,250,0.5381055027410196,0.010872821385366672
0.5,1353,250,0.5375111576272108,0.02294624031936124
0.5,1409,150,0.5371210113923812,0.021877220127989844
0.5,1353,150,0.5367748053617607,0.013555855203597178
0.5,1409,200,0.5366371188368968,0.014138430670285035
0.5,1297,200,0.5365977933460344,0.03289942061293797
0.5,1290,150,0.5349161778681194,0.013773347482797446
0.5,1297,250,0.5345808937491576,0.027636192421007625
0.5,1374,300,0.5341797112304361,0.0210314466523637
0.5,1437,50,0.534034435466813,0.015630139823500346
0.5,1353,300,0.5339844112050013,0.018774203440085086
0.5,1360,200,0.5338718359984005,0.02144648796237021
0.5,1437,200,0.5338094211415554,0.017616172452024816
0.5,1402,250,0.5337040124129989,0.03224064674991997
0.5,1402,300,0.5335833402374688,0.029577575849612413
0.5,1269,150,0.5334178410440255,0.014657363456908764
0.5,1430,50,0.5331329143495986,0.027321376958871168
0.5,1367,200,0.5328319304848523,0.013901507711853212
0.5,1409,250,0.5313304269014268,0.018767072880996247
0.5,1430,100,0.5312017585599573,0.02809443803843036
0.5,1402,200,0.5311546908543987,0.036262452365702094
0.5,1297,100,0.5303397145859376,0.03139811567267811
0.5,1311,300,0.5302963775366096,0.025448925976570617
0.5,1388,200,0.5297235111246975,0.02319162341247025
0.5,1416,300,0.5293505427382872,0.03008432037666595
0.5,1248,250,0.5289800143714096,0.018519901227158114
0.5,1248,300,0.5289279344446839,0.020375031302946812
0.5,1374,100,0.5287393586842815,0.013954468866342678
0.5,1409,300,0.5283294026778735,0.01601817216131562
0.5,1374,250,0.5282077945487063,0.01802260797570686
0.5,1437,250,0.5278002648290524,0.010731076521911562
0.5,1374,200,0.527608410075735,0.01925737583424754
0.5,1423,25,0.5271509212716179,0.03095504124919425
0.5,1360,150,0.5267954672681275,0.02124170293669143
0.5,1395,100,0.526751293969077,0.015541092681953514
0.5,1360,300,0.5267031998748651,0.02109120364447416
0.5,1269,300,0.526611185048048,0.016022302432912843
0.5,1437,300,0.5261108640667127,0.016466697333881276
0.5,1346,300,0.5258604159833021,0.021077967385116705
0.5,1374,150,0.5258232129857788,0.019942468283139534
0.5,1276,150,0.5256844000909557,0.024343562493490286
0.5,1283,300,0.5253869554410986,0.03465782237483122
0.5,1311,200,0.5253355751071067,0.029376506131525235
0.5,1430,150,0.5250397864209381,0.026314820785459252
