offset,seed,n_estimators,avg_f1
0.5,1381,100,0.5096019387145538
0.5,1325,150,0.5091822896728841
0.5,1381,150,0.5084301130058737
0.5,1241,25,0.5082237090179953
0.5,1248,25,0.5078392023247832
0.5,1339,50,0.5078024019210364
0.5,1241,300,0.5076559104667854
0.5,1430,25,0.5070052611298113
0.5,1395,25,0.5065931816459914
0.5,1388,100,0.5064446989382738
0.5,1388,150,0.5063788653990297
0.5,1241,100,0.5061218131774485
0.5,1304,50,0.5058960501551866
0.5,1241,200,0.5056098227405176
0.5,1283,25,0.5050293889528102
0.5,1304,250,0.504334084689922
0.5,1283,50,0.5042842367533451
0.5,1304,150,0.5042267507708391
0.5,1290,50,0.5042006810689637
0.5,1416,100,0.5040878812288572
0.5,1283,100,0.5036963517406663
0.5,1304,200,0.5031069273257491
0.5,1276,250,0.5027601202371953
0.5,1241,150,0.5026681609965931
0.5,1367,50,0.502303435189979
0.5,1276,100,0.5014469558966971
0.5,1339,100,0.5012171718557411
0.5,1353,50,0.5012001629372844
0.5,1381,200,0.5006657199046829
0.5,1269,25,0.4999628322928416
0.5,1402,25,0.4995837901507108
0.5,1381,25,0.4986761246270689
0.5,1276,200,0.49688293015561297
0.5,1304,100,0.4964021638488626
0.5,1346,50,0.4955416818841318
0.5,1339,25,0.4950916871986065
0.5,1416,25,0.4943973946175565
0.5,1262,25,0.4928331070279562
0.5,1367,25,0.49282015745717844
0.5,1388,25,0.4918369968323855
0.5,1416,50,0.49164776606805927
0.5,1318,50,0.4912803463814198
0.5,1325,100,0.49120986614103507
0.5,1297,25,0.4911488834518119
0.5,1311,50,0.48749160132147357
0.5,1360,50,0.4863258374513248
0.5,1234,100,0.4845322226484051
0.5,1276,50,0.4829277495297271
0.5,1304,25,0.4813178995480002
0.5,1290,25,0.48116753277906527
0.5,1325,50,0.4733022135087138
0.5,1325,25,0.47290004093713484
0.5,1318,25,0.4708096880408993
0.5,1346,25,0.46652584492273075
0.5,1311,25,0.4661554358330241
0.5,1360,25,0.4624380835150069
0.5,1234,50,0.4601254321881707
0.5,1276,25,0.4411664976763022
0.5,1234,25,0.4330849208926536
0.6,1430,25,0.22193843591124612
0.6,1318,25,0.2169233071904158
0.4,1332,25,0.21083681963816256
0.4,1416,25,0.2080429864818391
0.6,1283,25,0.2072895991756128
0.4,1437,50,0.20566542843631724
0.4,1374,25,0.2037198918540008
0.4,1339,25,0.20280941607454034
0.4,1423,25,0.20118256478330956
0.4,1332,50,0.20029922255102667
0.4,1416,50,0.1996137872415797
0.6,1409,25,0.19798970814953196
0.4,1402,25,0.19793337153727028
0.4,1283,25,0.19740488520416627
0.4,1381,100,0.1972209131249673
0.6,1332,25,0.1968599919863343
0.4,1339,50,0.19546405522490312
0.4,1262,25,0.19544969700083575
0.4,1423,50,0.19514111339510526
0.4,1283,50,0.19512740822706265
0.4,1409,25,0.19512415556953336
0.4,1395,25,0.19506766459678454
0.4,1269,25,0.19466732733064146
0.4,1325,25,0.19465988175188564
0.4,1416,100,0.19458665015611057
0.4,1367,25,0.19457243154501067
0.4,1367,50,0.19427880032116712
0.4,1409,50,0.19393353031984933
0.4,1234,250,0.19381109696787352
0.4,1381,150,0.19378126608754154
0.4,1367,100,0.19339206842150394
0.4,1430,25,0.19336327155707642
0.4,1437,25,0.19306152759361273
0.6,1416,25,0.19254270797696388
0.4,1367,150,0.19228036126535858
0.4,1332,100,0.19220975979760432
0.4,1234,200,0.19211409100211468
0.4,1381,50,0.19192169944540438
0.4,1269,50,0.19178361560450913
0.4,1437,150,0.19158218224675405
0.4,1325,50,0.19150952811127003
0.4,1416,200,0.19147663565351536
0.4,1262,50,0.19133268956853206
0.4,1437,100,0.19129306762288878
0.4,1388,50,0.19113652698474626
0.4,1437,200,0.19092710452197886
0.4,1353,100,0.19075339408638325
0.4,1234,300,0.1907199503055935
0.4,1318,50,0.19061458606127535
0.4,1297,25,0.1904689927511412
0.4,1234,100,0.19036958273381127
0.4,1262,150,0.18973464242193078
0.4,1248,50,0.18967192549418724
0.4,1318,100,0.18947796003207318
0.4,1395,200,0.18937982320053215
0.4,1374,50,0.1892524166165212
0.4,1346,200,0.18876276668239206
0.4,1290,50,0.18876152706129418
0.4,1437,300,0.18864409792622222
0.4,1262,200,0.18863698601216003
0.4,1346,150,0.18863343366452467
0.4,1283,100,0.18861151153217254
0.4,1381,200,0.1882042819514558
0.4,1318,200,0.18812827850049493
0.4,1346,250,0.1879286398682053
0.4,1402,50,0.18791628903850535
0.4,1262,250,0.18784090110877055
0.4,1234,150,0.18778347514260343
0.4,1346,300,0.18777764039443287
0.4,1269,200,0.187669361265707
0.4,1395,150,0.1876686558520279
0.4,1353,25,0.187611381077816
0.4,1311,25,0.1875893032377391
0.4,1416,250,0.1874278877955624
0.4,1374,100,0.1870987701039602
0.6,1332,150,0.18705752840749995
0.4,1367,200,0.18704774653333206
0.4,1353,150,0.1870390178388936
0.4,1437,250,0.18701684699873256
0.4,1297,50,0.18697685364554334
0.4,1318,150,0.18692254366489286
0.4,1318,250,0.18685224594696823
0.4,1374,300,0.18676911593987447
0.4,1269,300,0.18658284779602602
0.4,1353,50,0.18656509494829443
0.4,1318,25,0.18651181303128814
0.4,1423,100,0.18644339647946626
0.4,1360,100,0.18643224886942358
0.4,1402,150,0.18638098958931598
0.4,1241,300,0.18627688405500958
0.4,1262,300,0.18625098364428613
0.4,1416,150,0.1861815923129906
0.4,1416,300,0.18617074219784513
0.4,1276,50,0.1860973486345304
0.4,1353,250,0.18599597341781093
0.4,1346,100,0.18585730170673015
0.4,1325,100,0.1856934902892941
0.6,1353,25,0.18568219349110976
0.4,1276,100,0.18567964002689372
0.4,1297,150,0.18567445415311654
0.4,1339,100,0.18567108978284272
0.4,1367,300,0.1854252533011222
0.4,1276,150,0.18530667154400912
0.4,1409,150,0.18526749970998238
0.4,1353,300,0.1852642017801442
0.4,1255,200,0.18526239486579751
0.4,1402,200,0.1850851607353752
0.4,1269,100,0.18503661861895648
0.4,1374,150,0.18499609764586683
0.4,1262,100,0.18498765445740586
0.4,1297,100,0.18497388568797052
0.4,1381,300,0.18496204119594167
0.4,1339,300,0.18489311208005937
0.4,1255,300,0.18486931179990443
0.4,1395,300,0.1848553633613879
0.4,1381,250,0.18480602611169789
0.4,1255,100,0.18466669116260204
0.4,1311,300,0.1846482314973869
0.4,1269,250,0.18458235599232284
0.4,1332,150,0.18454686477841054
0.4,1241,250,0.1845088432238352
0.4,1276,300,0.1844851146066341
0.4,1430,50,0.184464129100121
0.4,1297,300,0.1844595967828177
0.4,1234,50,0.18445411493592523
0.4,1409,300,0.18440568485294534
0.4,1402,300,0.18437934345803977
0.4,1395,250,0.18433078204209036
0.4,1388,300,0.18424760242419064
0.4,1255,250,0.18423559807854878
0.6,1332,50,0.1842336267323962
0.4,1248,150,0.1842141298681446
0.4,1409,250,0.18418453550105524
0.4,1388,25,0.18415934107317877
0.4,1367,250,0.18415423509083623
0.4,1339,150,0.18415213769914346
0.4,1388,200,0.18414378746567622
0.4,1248,100,0.18406290793511346
0.4,1318,300,0.18406104272486346
0.4,1304,300,0.18401956454156085
0.4,1430,200,0.18399949796878873
0.4,1353,200,0.1839366793012465
0.4,1304,250,0.1839016579437629
0.4,1276,250,0.1837627408697501
0.4,1388,250,0.18370587807302824
0.4,1395,50,0.1836475456658768
0.4,1430,150,0.18364397972385763
0.4,1395,100,0.1836161909128079
0.4,1283,300,0.18357769979589092
0.4,1283,200,0.18348776321504004
0.4,1374,250,0.18347049896140658
0.4,1269,150,0.18346685650052397
0.4,1409,200,0.18343840926578567
0.4,1248,200,0.18334213164716445
0.4,1409,100,0.1833255173832286
0.4,1374,200,0.18328994830673087
0.4,1388,100,0.18323959965866715
0.4,1339,200,0.18322653617494403
0.6,1283,50,0.1831748530857092
0.4,1339,250,0.18315413313778137
0.4,1290,300,0.1831452907474981
0.4,1430,100,0.1830420733789504
0.4,1423,300,0.18300824051520637
0.4,1311,250,0.1829259823009123
0.4,1297,250,0.18288316434688284
0.4,1402,250,0.18285279542769553
0.4,1248,250,0.1827661037684905
0.4,1311,200,0.18273567214516614
0.4,1332,200,0.18271793481999932
0.4,1430,300,0.18262463715126662
0.4,1423,250,0.18253180108875058
0.4,1255,25,0.1824820748615259
0.4,1276,25,0.1824053048501528
0.4,1283,250,0.18233550359950923
0.4,1283,150,0.18232812478519375
0.4,1290,250,0.18231751176082867
0.4,1248,300,0.18231393271727964
0.4,1311,150,0.18230155260623
0.4,1297,200,0.18225636623904234
0.4,1423,150,0.18210403627120025
0.4,1290,100,0.1821039800522442
0.4,1332,300,0.1820815509985603
0.4,1276,200,0.18201613417350399
0.4,1430,250,0.18198551993843454
0.4,1388,150,0.181847866041913
0.4,1241,150,0.18167046531782902
0.4,1325,300,0.18163713695114597
0.4,1255,150,0.18162303945632755
0.4,1290,25,0.18153714193811718
0.4,1360,150,0.18146685163541904
0.4,1402,100,0.18136612568148164
0.4,1332,250,0.18118312488261937
0.4,1360,300,0.1811575951037207
0.4,1241,200,0.18115388613899247
0.4,1311,100,0.1810498595415427
0.4,1241,100,0.18094547378656384
0.4,1325,250,0.18085937092428514
0.4,1325,150,0.18057468208266453
0.4,1423,200,0.18054079729016714
0.4,1304,200,0.18025512178144273
0.6,1332,100,0.18019311015779035
0.4,1360,50,0.18009361538203295
0.4,1360,250,0.18005637596663587
0.4,1241,50,0.18001338605452705
0.4,1325,200,0.17991369185256342
0.4,1360,200,0.17977728842260837
0.6,1255,25,0.1796561524279107
0.6,1346,25,0.17962025212389465
0.4,1346,50,0.17959199056310626
0.4,1304,150,0.1793510809455109
0.4,1255,50,0.17925541985472954
0.4,1290,200,0.17918435437332692
0.4,1304,100,0.17892440145073119
0.4,1346,25,0.17868661273152248
0.6,1353,50,0.17860350730133495
0.6,1409,50,0.1784438368648895
0.4,1304,25,0.178419607525035
0.6,1332,200,0.1783204400359549
0.4,1290,150,0.17829583490755702
0.4,1304,50,0.17821933393444953
0.6,1395,100,0.17820216514405063
0.4,1241,25,0.1776669851342672
0.4,1234,25,0.17669354634702877
0.4,1311,50,0.17658535764314184
0.6,1297,25,0.17653035885211849
0.4,1381,25,0.17633426243585354
0.6,1318,100,0.17628364765108068
0.4,1248,25,0.17588479378731772
0.4,1360,25,0.17441164187647223
0.6,1395,150,0.17372656155674812
0.6,1367,25,0.1725035782231313
0.6,1255,50,0.17102697682195858
0.6,1332,300,0.17036912508091492
0.6,1325,50,0.17027709708080724
0.6,1276,25,0.17008573146888137
0.6,1332,250,0.16947249240119627
0.6,1318,50,0.16890786723727397
0.6,1276,150,0.16852379601824602
0.6,1304,25,0.16793880506074305
0.6,1395,200,0.16714447481915798
0.6,1353,100,0.1658421922679434
0.6,1423,150,0.16441755831035182
0.6,1430,100,0.16410513092384477
0.6,1311,25,0.16410452310711268
0.6,1283,150,0.16378056497397303
0.6,1318,300,0.16362033482883157
0.6,1325,100,0.1634695544172863
0.6,1276,100,0.16311571177004974
0.6,1416,150,0.16282120836924946
0.6,1318,250,0.16162486391728914
0.6,1395,25,0.1607642874965042
0.6,1241,25,0.16041813855093184
0.6,1325,25,0.1602450921434271
0.6,1395,250,0.15992739592420846
0.6,1290,250,0.1598283938230851
0.6,1318,200,0.15962611142244282
0.6,1290,50,0.15898249018175764
0.6,1255,100,0.1588948663275021
0.6,1395,50,0.15862506135584228
0.6,1325,300,0.15810640431590997
0.6,1325,250,0.15800199836462503
0.6,1423,50,0.1579407392834503
0.6,1416,100,0.15771520967879232
0.6,1262,25,0.1576762364102722
0.6,1325,150,0.15725023239737201
0.6,1290,25,0.15703310178432733
0.6,1283,250,0.1563094789634845
0.6,1423,200,0.1559758761099473
0.6,1353,250,0.15575453938393663
0.6,1325,200,0.15556101364211014
0.1,1388,25,0.1550374024921774
0.3,1381,25,0.1550374024921774
0.2,1381,25,0.1550374024921774
0.1,1381,25,0.1550374024921774
0.1,1423,100,0.1550374024921774
0.3,1234,150,0.1550374024921774
0.2,1234,150,0.1550374024921774
0.2,1388,25,0.1550374024921774
0.3,1437,100,0.1550374024921774
0.2,1248,150,0.1550374024921774
0.1,1248,150,0.1550374024921774
0.3,1374,200,0.1550374024921774
0.2,1374,200,0.1550374024921774
0.1,1374,200,0.1550374024921774
0.3,1367,200,0.1550374024921774
0.2,1367,200,0.1550374024921774
0.1,1367,200,0.1550374024921774
0.1,1234,150,0.1550374024921774
0.2,1395,200,0.1550374024921774
0.1,1395,200,0.1550374024921774
0.3,1416,200,0.1550374024921774
0.2,1416,200,0.1550374024921774
0.1,1416,200,0.1550374024921774
0.3,1409,200,0.1550374024921774
0.2,1409,200,0.1550374024921774
0.3,1416,100,0.1550374024921774
0.1,1381,200,0.1550374024921774
0.2,1430,100,0.1550374024921774
0.1,1430,100,0.1550374024921774
0.3,1423,100,0.1550374024921774
0.2,1388,200,0.1550374024921774
0.1,1388,200,0.1550374024921774
0.3,1381,200,0.1550374024921774
0.2,1381,200,0.1550374024921774
0.2,1437,100,0.1550374024921774
0.3,1388,25,0.1550374024921774
0.3,1430,100,0.1550374024921774
0.2,1255,150,0.1550374024921774
0.1,1255,150,0.1550374024921774
0.3,1248,150,0.1550374024921774
0.2,1262,50,0.1550374024921774
0.1,1262,50,0.1550374024921774
0.3,1339,200,0.1550374024921774
0.2,1339,200,0.1550374024921774
0.1,1339,200,0.1550374024921774
0.3,1332,200,0.1550374024921774
0.1,1437,100,0.1550374024921774
0.1,1332,200,0.1550374024921774
0.3,1269,150,0.1550374024921774
0.2,1269,150,0.1550374024921774
0.1,1269,150,0.1550374024921774
0.3,1262,150,0.1550374024921774
0.2,1262,150,0.1550374024921774
0.1,1262,150,0.1550374024921774
0.3,1346,200,0.1550374024921774
0.2,1346,200,0.1550374024921774
0.2,1332,200,0.1550374024921774
0.3,1395,200,0.1550374024921774
0.3,1241,150,0.1550374024921774
0.3,1276,50,0.1550374024921774
0.2,1276,50,0.1550374024921774
0.1,1276,50,0.1550374024921774
0.3,1269,50,0.1550374024921774
0.3,1388,200,0.1550374024921774
0.1,1346,200,0.1550374024921774
0.3,1395,25,0.1550374024921774
0.3,1255,150,0.1550374024921774
0.1,1395,25,0.1550374024921774
0.3,1360,200,0.1550374024921774
0.2,1360,200,0.1550374024921774
0.1,1360,200,0.1550374024921774
0.3,1353,200,0.1550374024921774
0.2,1353,200,0.1550374024921774
0.1,1353,200,0.1550374024921774
0.2,1241,150,0.1550374024921774
0.1,1241,150,0.1550374024921774
0.2,1395,25,0.1550374024921774
0.1,1269,250,0.1550374024921774
0.3,1262,250,0.1550374024921774
0.2,1262,250,0.1550374024921774
0.1,1262,250,0.1550374024921774
0.1,1388,100,0.1550374024921774
0.3,1381,100,0.1550374024921774
0.2,1381,100,0.1550374024921774
0.1,1381,100,0.1550374024921774
0.1,1402,200,0.1550374024921774
0.3,1234,250,0.1550374024921774
0.2,1234,250,0.1550374024921774
0.1,1234,250,0.1550374024921774
0.3,1255,250,0.1550374024921774
0.2,1255,250,0.1550374024921774
0.1,1255,250,0.1550374024921774
0.3,1248,250,0.1550374024921774
0.2,1248,250,0.1550374024921774
0.1,1248,250,0.1550374024921774
0.1,1241,250,0.1550374024921774
0.2,1276,250,0.1550374024921774
0.1,1276,250,0.1550374024921774
0.3,1353,25,0.1550374024921774
0.2,1353,25,0.1550374024921774
0.1,1353,25,0.1550374024921774
0.3,1346,25,0.1550374024921774
0.2,1346,25,0.1550374024921774
0.1,1346,25,0.1550374024921774
0.3,1290,250,0.1550374024921774
0.2,1269,250,0.1550374024921774
0.1,1374,100,0.1550374024921774
0.3,1297,50,0.1550374024921774
0.1,1395,100,0.1550374024921774
0.2,1367,25,0.1550374024921774
0.1,1367,25,0.1550374024921774
0.3,1360,25,0.1550374024921774
0.2,1360,25,0.1550374024921774
0.1,1360,25,0.1550374024921774
0.3,1269,250,0.1550374024921774
0.2,1290,250,0.1550374024921774
0.2,1241,250,0.1550374024921774
0.2,1423,100,0.1550374024921774
0.1,1409,200,0.1550374024921774
0.3,1423,200,0.1550374024921774
0.3,1374,25,0.1550374024921774
0.2,1374,25,0.1550374024921774
0.1,1374,25,0.1550374024921774
0.3,1367,25,0.1550374024921774
0.2,1423,200,0.1550374024921774
0.3,1374,100,0.1550374024921774
0.3,1290,50,0.1550374024921774
0.2,1290,50,0.1550374024921774
0.1,1290,50,0.1550374024921774
0.3,1283,50,0.1550374024921774
0.2,1283,50,0.1550374024921774
0.1,1283,50,0.1550374024921774
0.3,1402,200,0.1550374024921774
0.2,1402,200,0.1550374024921774
0.2,1402,300,0.1550374024921774
0.3,1402,100,0.1550374024921774
0.2,1374,100,0.1550374024921774
0.2,1402,100,0.1550374024921774
0.1,1402,100,0.1550374024921774
0.3,1395,100,0.1550374024921774
0.2,1395,100,0.1550374024921774
0.1,1423,200,0.1550374024921774
0.3,1437,200,0.1550374024921774
0.2,1437,200,0.1550374024921774
0.1,1437,200,0.1550374024921774
0.3,1241,250,0.1550374024921774
0.2,1430,200,0.1550374024921774
0.1,1430,200,0.1550374024921774
0.3,1388,100,0.1550374024921774
0.2,1388,100,0.1550374024921774
0.2,1416,100,0.1550374024921774
0.1,1416,100,0.1550374024921774
0.3,1409,100,0.1550374024921774
0.2,1409,100,0.1550374024921774
0.1,1409,100,0.1550374024921774
0.3,1430,200,0.1550374024921774
0.2,1416,150,0.1550374024921774
0.1,1416,150,0.1550374024921774
0.3,1430,25,0.1550374024921774
0.2,1430,25,0.1550374024921774
0.1,1430,25,0.1550374024921774
0.3,1423,25,0.1550374024921774
0.3,1430,150,0.1550374024921774
0.3,1346,150,0.1550374024921774
0.3,1409,25,0.1550374024921774
0.1,1346,150,0.1550374024921774
0.3,1339,150,0.1550374024921774
0.2,1234,50,0.1550374024921774
0.1,1234,50,0.1550374024921774
0.3,1437,25,0.1550374024921774
0.2,1437,25,0.1550374024921774
0.1,1437,25,0.1550374024921774
0.3,1395,150,0.1550374024921774
0.3,1409,150,0.1550374024921774
0.2,1346,150,0.1550374024921774
0.2,1430,150,0.1550374024921774
0.1,1430,150,0.1550374024921774
0.3,1234,200,0.1550374024921774
0.2,1234,200,0.1550374024921774
0.1,1234,200,0.1550374024921774
0.3,1437,150,0.1550374024921774
0.2,1437,150,0.1550374024921774
0.1,1437,150,0.1550374024921774
0.2,1318,150,0.1550374024921774
0.3,1416,150,0.1550374024921774
0.3,1332,150,0.1550374024921774
0.2,1332,150,0.1550374024921774
0.1,1332,150,0.1550374024921774
0.3,1325,150,0.1550374024921774
0.2,1325,150,0.1550374024921774
0.2,1353,150,0.1550374024921774
0.3,1423,150,0.1550374024921774
0.2,1423,150,0.1550374024921774
0.1,1423,150,0.1550374024921774
0.1,1318,150,0.1550374024921774
0.3,1353,150,0.1550374024921774
0.2,1381,150,0.1550374024921774
0.1,1381,150,0.1550374024921774
0.3,1402,300,0.1550374024921774
0.3,1423,300,0.1550374024921774
0.1,1402,300,0.1550374024921774
0.3,1395,300,0.1550374024921774
0.2,1395,300,0.1550374024921774
0.1,1395,300,0.1550374024921774
0.2,1409,150,0.1550374024921774
0.2,1416,300,0.1550374024921774
0.1,1416,300,0.1550374024921774
0.3,1409,300,0.1550374024921774
0.2,1409,300,0.1550374024921774
0.1,1409,300,0.1550374024921774
0.3,1416,300,0.1550374024921774
0.3,1367,50,0.1550374024921774
0.2,1367,50,0.1550374024921774
0.1,1367,50,0.1550374024921774
0.3,1388,300,0.1550374024921774
0.1,1409,150,0.1550374024921774
0.3,1402,150,0.1550374024921774
0.2,1402,150,0.1550374024921774
0.1,1402,150,0.1550374024921774
0.1,1339,150,0.1550374024921774
0.3,1241,50,0.1550374024921774
0.2,1241,50,0.1550374024921774
0.1,1241,50,0.1550374024921774
0.1,1423,300,0.1550374024921774
0.3,1241,25,0.1550374024921774
0.3,1248,25,0.1550374024921774
0.2,1248,25,0.1550374024921774
0.1,1248,25,0.1550374024921774
0.3,1437,300,0.1550374024921774
0.2,1437,300,0.1550374024921774
0.1,1437,300,0.1550374024921774
0.3,1430,300,0.1550374024921774
0.2,1430,300,0.1550374024921774
0.1,1430,300,0.1550374024921774
0.1,1255,25,0.1550374024921774
0.3,1297,200,0.1550374024921774
0.3,1283,150,0.1550374024921774
0.2,1283,150,0.1550374024921774
0.1,1283,150,0.1550374024921774
0.3,1276,150,0.1550374024921774
0.2,1276,150,0.1550374024921774
0.1,1276,150,0.1550374024921774
0.2,1297,200,0.1550374024921774
0.2,1339,150,0.1550374024921774
0.3,1311,200,0.1550374024921774
0.3,1304,150,0.1550374024921774
0.3,1276,200,0.1550374024921774
0.2,1276,200,0.1550374024921774
0.1,1276,200,0.1550374024921774
0.3,1269,200,0.1550374024921774
0.2,1269,200,0.1550374024921774
0.1,1269,200,0.1550374024921774
0.3,1290,200,0.1550374024921774
0.1,1297,200,0.1550374024921774
0.2,1409,25,0.1550374024921774
0.1,1409,25,0.1550374024921774
0.3,1402,25,0.1550374024921774
0.2,1402,25,0.1550374024921774
0.1,1402,25,0.1550374024921774
0.2,1311,200,0.1550374024921774
0.1,1311,200,0.1550374024921774
0.3,1325,200,0.1550374024921774
0.2,1325,200,0.1550374024921774
0.1,1304,200,0.1550374024921774
0.3,1318,200,0.1550374024921774
0.2,1318,200,0.1550374024921774
0.1,1318,200,0.1550374024921774
0.3,1262,50,0.1550374024921774
0.3,1290,150,0.1550374024921774
0.2,1283,200,0.1550374024921774
0.1,1283,200,0.1550374024921774
0.3,1304,200,0.1550374024921774
0.2,1304,200,0.1550374024921774
0.1,1325,200,0.1550374024921774
0.3,1311,150,0.1550374024921774
0.2,1311,150,0.1550374024921774
0.1,1311,150,0.1550374024921774
0.1,1325,150,0.1550374024921774
0.3,1248,200,0.1550374024921774
0.2,1248,200,0.1550374024921774
0.1,1248,200,0.1550374024921774
0.3,1241,200,0.1550374024921774
0.2,1241,200,0.1550374024921774
0.2,1290,200,0.1550374024921774
0.2,1304,150,0.1550374024921774
0.1,1304,150,0.1550374024921774
0.3,1255,50,0.1550374024921774
0.2,1255,50,0.1550374024921774
0.1,1255,50,0.1550374024921774
0.3,1248,50,0.1550374024921774
0.2,1248,50,0.1550374024921774
0.1,1248,50,0.1550374024921774
0.3,1318,150,0.1550374024921774
0.1,1241,200,0.1550374024921774
0.1,1290,200,0.1550374024921774
